romanji,hiragana,katakana,hiragana_draworder_animated,hiragana_draworder_still,katakana_draworder_animated,katakana_draworder_still
hi,ひ,ヒ,https://upload.wikimedia.org/wikipedia/commons/4/40/Hiragana_%E3%81%B2_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/c5/%E3%81%B2-bw.png,https://upload.wikimedia.org/wikipedia/commons/7/7a/Katakana_%E3%83%92_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/bd/%E3%83%92-bw.png
fu,ふ,フ,https://upload.wikimedia.org/wikipedia/commons/1/1f/Hiragana_%E3%81%B5_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/e5/%E3%81%B5-bw.png,https://upload.wikimedia.org/wikipedia/commons/0/0a/Katakana_%E3%83%95_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/94/%E3%83%95-bw.png
he,へ,ヘ,https://upload.wikimedia.org/wikipedia/commons/4/40/Hiragana_%E3%81%B8_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/c1/%E3%81%B8-bw.png,https://upload.wikimedia.org/wikipedia/commons/7/70/Katakana_%E3%83%98_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/66/%E3%83%98-bw.png
ho,ほ,ホ,https://upload.wikimedia.org/wikipedia/commons/9/96/Hiragana_%E3%81%BB_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/4/4c/%E3%81%BB-bw.png,https://upload.wikimedia.org/wikipedia/commons/9/95/Katakana_%E3%83%9B_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/2/25/%E3%83%9B-bw.png
ma,ま,マ,https://upload.wikimedia.org/wikipedia/commons/6/65/Hiragana_%E3%81%BE_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/bf/%E3%81%BE-bw.png,https://upload.wikimedia.org/wikipedia/commons/8/87/Katakana_%E3%83%9E_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/3d/%E3%83%9E-bw.png
mi,み,ミ,https://upload.wikimedia.org/wikipedia/commons/d/d7/Hiragana_%E3%81%BF_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/7f/%E3%81%BF-bw.png,https://upload.wikimedia.org/wikipedia/commons/2/28/Katakana_%E3%83%9F_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/77/%E3%83%9F-bw.png
mu,む,ム,https://upload.wikimedia.org/wikipedia/commons/1/1f/Hiragana_%E3%82%80_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/4/49/%E3%82%80-bw.png,https://upload.wikimedia.org/wikipedia/commons/4/40/Katakana_%E3%83%A0_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/1/1b/%E3%83%A0-bw.png
me,め,メ,https://upload.wikimedia.org/wikipedia/commons/5/58/Hiragana_%E3%82%81_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/d/db/%E3%82%81-bw.png,https://upload.wikimedia.org/wikipedia/commons/0/00/Katakana_%E3%83%A1_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/a/a1/%E3%83%A1-bw.png
mo,も,モ,https://upload.wikimedia.org/wikipedia/commons/c/c1/Hiragana_%E3%82%82_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/66/%E3%82%82-bw.png,https://upload.wikimedia.org/wikipedia/commons/e/ef/Katakana_%E3%83%A2_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/5/52/%E3%83%A2-bw.png
ya,や,ヤ,https://upload.wikimedia.org/wikipedia/commons/0/07/Hiragana_%E3%82%84_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/f/fb/%E3%82%84-bw.png,https://upload.wikimedia.org/wikipedia/commons/b/b9/Katakana_%E3%83%A4_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/98/%E3%83%A4-bw.png
yu,ゆ,ユ,https://upload.wikimedia.org/wikipedia/commons/7/78/Hiragana_%E3%82%86_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/92/%E3%82%86-bw.png,https://upload.wikimedia.org/wikipedia/commons/f/f9/Katakana_%E3%83%A6_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/b/b6/%E3%83%A6-bw.png
yo,よ,ヨ,https://upload.wikimedia.org/wikipedia/commons/8/80/Hiragana_%E3%82%88_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/7e/%E3%82%88-bw.png,https://upload.wikimedia.org/wikipedia/commons/7/76/Katakana_%E3%83%A8_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/96/%E3%83%A8-bw.png
ra,ら,ラ,https://upload.wikimedia.org/wikipedia/commons/6/6c/Hiragana_%E3%82%89_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/6d/%E3%82%89-bw.png,https://upload.wikimedia.org/wikipedia/commons/c/ca/Katakana_%E3%83%A9_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/e7/%E3%83%A9-bw.png
ri,り,リ,https://upload.wikimedia.org/wikipedia/commons/9/9f/Hiragana_%E3%82%8A_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/d/d1/%E3%82%8A-bw.png,https://upload.wikimedia.org/wikipedia/commons/a/ad/Katakana_%E3%83%AA_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/3/3d/%E3%83%AA-bw.png
ru,る,ル,https://upload.wikimedia.org/wikipedia/commons/2/26/Hiragana_%E3%82%8B_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/7/73/%E3%82%8B-bw.png,https://upload.wikimedia.org/wikipedia/commons/1/1d/Katakana_%E3%83%AB_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/e/e1/%E3%83%AB-bw.png
re,れ,レ,https://upload.wikimedia.org/wikipedia/commons/6/6c/Hiragana_%E3%82%8C_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/0a/%E3%82%8C-bw.png,https://upload.wikimedia.org/wikipedia/commons/8/8e/Katakana_%E3%83%AC_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/f/f1/%E3%83%AC-bw.png
ro,ろ,ロ,https://upload.wikimedia.org/wikipedia/commons/3/35/Hiragana_%E3%82%8D_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/9/9c/%E3%82%8D-bw.png,https://upload.wikimedia.org/wikipedia/commons/6/62/Katakana_%E3%83%AD_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/08/%E3%83%AD-bw.png
wa,わ,ワ,https://upload.wikimedia.org/wikipedia/commons/6/6a/Hiragana_%E3%82%8F_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/66/%E3%82%8F-bw.png,https://upload.wikimedia.org/wikipedia/commons/c/c8/Katakana_%E3%83%AF_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/c/c3/%E3%83%AF-bw.png
wo,を,ヲ,https://upload.wikimedia.org/wikipedia/commons/6/64/Hiragana_%E3%82%92_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/6/69/%E3%82%92-bw.png,https://upload.wikimedia.org/wikipedia/commons/3/35/Katakana_%E3%83%B2_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/2/2b/%E3%83%B2-bw.png
n,ん,ン,https://upload.wikimedia.org/wikipedia/commons/f/f6/Hiragana_%E3%82%93_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/0/0e/%E3%82%93-bw.png,https://upload.wikimedia.org/wikipedia/commons/9/9f/Katakana_%E3%83%B3_stroke_order_animation.gif,https://upload.wikimedia.org/wikipedia/commons/4/46/%E3%83%B3-bw.png
